id,id_guia,id_idoma
1,1589,1
2,2487,1
3,2488,1
4,2484,1
5,2480,1
6,2471,1
7,2489,1
8,2474,1
9,2485,1
10,2486,1
11,2476,1
12,2477,1
13,2479,1
14,2277,1
15,2277,2
16,10000,1
17,1913,1
18,1536,1
19,1536,3
20,2470,1
21,2472,1
22,2482,1
23,2481,1
24,2490,1
25,2478,1
26,2473,1
27,2106,1
28,2524,1
29,2522,1
30,2527,1
31,2528,1
32,2526,1
33,2492,1
34,2491,1
35,2475,1
36,10001,1
37,2217,1
38,2595,1
39,2566,1
40,2571,1
41,2574,1
42,2565,1
43,2568,1
44,2578,1
45,2576,1
46,2570,1
47,2569,1
48,2577,1
49,2573,1
50,2575,1
51,2572,1
52,2579,1
53,2567,1
54,2424,1
55,2423,1
56,2520,1
57,2362,1
58,1707,1
59,2534,1
60,2538,1
61,2541,1
62,2535,1
63,2531,1
64,2537,1
65,2533,1
66,2539,1
67,2539,2
68,2540,1
69,2536,1
70,2530,1
71,2532,1
72,2363,1
73,1563,1
74,1563,2
75,2280,1
76,2279,1
77,1273,1
78,1592,1
79,1672,1
80,1848,1
81,1848,2
82,1848,3
83,1948,1
84,1713,1
85,2388,1
86,1990,1
87,1990,2
88,1168,1
89,2496,1
90,2374,1
91,397,1
92,912,1
93,1852,1
94,2233,1
95,2349,1
96,651,1
97,10002,1
98,390,1
99,2175,1
100,663,1
101,2351,1
102,2394,1
103,2241,1
104,386,1
105,2372,1
106,406,1
107,1178,1
108,653,1
109,2554,1
110,2177,1
111,1167,1
112,1176,1
113,400,1
114,929,1
115,1163,1
116,905,1
117,2384,1
118,2236,1
119,1853,1
120,10003,1
121,10004,1
122,2378,1
123,1199,1
124,2347,1
125,657,1
126,1192,1
127,2216,1
128,396,1
129,2237,1
130,1169,1
131,1166,1
132,2391,1
133,1190,1
134,2392,1
135,2348,1
136,1854,1
137,925,1
138,911,1
139,2234,1
140,918,1
141,1170,1
142,924,1
143,1175,1
144,2594,1
145,2371,1
146,1172,1
147,909,1
148,655,1
149,921,1
150,2350,1
151,916,1
152,1963,1
153,2360,1
154,1569,1
155,913,1
156,402,1
157,906,1
158,2232,1
159,2497,1
160,1850,1
161,2379,1
162,10005,1
163,2422,1
164,2511,1
165,847,1
166,847,2
167,2242,1
168,962,1
169,693,1
170,2187,1
171,2352,1
172,750,1
173,750,2
174,985,1
175,433,1
176,2074,1
177,2074,2
178,2074,5
179,1766,1
180,642,1
181,642,2
182,1796,1
183,1796,2
184,1982,1
185,2593,1
186,1171,1
187,1793,1
188,669,1
189,669,3
190,2305,1
191,2305,2
192,1861,1
193,1861,2
194,578,1
195,10006,1
196,10006,2
197,226,1
198,226,2
199,2119,1
200,306,1
201,608,1
202,608,2
203,608,4
204,608,5
205,208,1
206,208,2
207,208,3
208,97,1
209,97,3
210,97,4
211,235,1
212,235,2
213,235,3
214,418,1
215,418,2
216,418,3
217,431,1
218,431,2
219,431,3
220,1789,1
221,711,1
222,2690,1
223,2690,2
224,1830,1
225,1955,1
226,472,1
227,957,1
228,957,2
229,760,1
230,1907,1
231,2229,1
232,2469,1
233,2143,1
234,2370,1
235,2370,2
236,2369,1
237,1091,1
238,573,1
239,2182,1
240,2182,2
241,1466,1
242,627,1
243,627,2
244,2463,1
245,22,1
246,22,2
247,22,3
248,22,4
249,22,5
250,22,6
251,980,1
252,2065,1
253,2065,2
254,421,1
255,421,2
256,322,1
257,322,2
258,322,3
259,322,4
260,255,1
261,255,2
262,255,3
263,1253,1
264,66,1
265,66,3
266,354,1
267,354,2
268,337,1
269,337,2
270,1761,1
271,2466,1
272,2064,1
273,2222,1
274,51,1
275,51,2
276,51,4
277,339,1
278,464,1
279,464,2
280,72,1
281,207,1
282,207,3
283,612,1
284,612,2
285,594,1
286,594,2
287,2198,1
288,1217,1
289,899,1
290,899,2
291,551,1
292,551,4
293,1308,1
294,1308,2
295,1308,3
296,1308,4
297,1308,6
298,671,1
299,671,2
300,2500,1
301,2500,2
302,2519,1
303,23,1
304,23,2
305,2425,1
306,857,1
307,2150,1
308,2215,1
309,2067,1
310,2034,1
311,615,1
312,615,3
313,798,1
314,798,2
315,532,1
316,945,1
317,945,8
318,169,1
319,169,2
320,86,1
321,86,5
322,1,1
323,1,2
324,1,3
325,549,1
326,549,7
327,2238,1
328,1634,1
329,1002,1
330,1157,1
331,567,1
332,567,7
333,1670,1
334,1670,2
335,2278,1
336,124,1
337,124,2
338,2148,1
339,276,1
340,276,5
341,264,1
342,264,2
343,2041,1
344,1858,1
345,253,1
346,253,4
347,1247,1
348,2324,1
349,2525,1
350,1619,1
351,2608,1
352,363,1
353,363,2
354,30,1
355,30,2
356,30,4
357,2561,1
358,2561,2
359,2561,4
360,10007,1
361,892,1
362,128,1
363,128,2
364,128,3
365,2306,1
366,2368,1
367,2368,2
368,313,1
369,313,2
370,209,1
371,209,7
372,71,1
373,71,2
374,641,1
375,641,2
376,641,3
377,584,1
378,584,2
379,584,5
380,342,1
381,342,2
382,2652,1
383,540,1
384,540,2
385,1750,1
386,2163,1
387,2163,2
388,1137,1
389,1137,2
390,2003,1
391,2003,2
392,2003,3
393,2468,1
394,2006,1
395,759,1
396,759,2
397,759,8
398,566,1
399,566,3
400,2073,1
401,665,1
402,425,1
403,329,1
404,329,2
405,1674,1
406,1674,2
407,17,1
408,17,2
409,17,4
410,17,5
411,2556,1
412,2220,1
413,2113,1
414,2066,1
415,320,1
416,320,2
417,1695,1
418,1446,1
419,2199,1
420,1748,1
421,409,1
422,409,2
423,289,1
424,289,2
425,1146,1
426,1571,1
427,415,1
428,415,2
429,237,1
430,237,2
431,613,1
432,174,1
433,1092,1
434,1092,2
435,1092,3
436,672,1
437,672,2
438,1906,1
439,1083,1
440,1083,2
441,60,1
442,60,2
443,2185,1
444,507,1
445,507,2
446,801,1
447,436,1
448,436,2
449,683,1
450,2582,1
451,2582,2
452,1812,1
453,1979,1
454,2560,1
455,2560,2
456,2381,1
457,1467,1
458,2157,1
459,283,1
460,283,2
461,1937,1
462,1430,1
463,2467,1
464,2664,1
465,1200,1
466,1860,1
467,1631,1
468,2105,1
469,10008,1
470,10008,2
471,185,1
472,2070,1
473,2151,1
474,1069,1
475,1069,2
476,1151,1
477,2672,1
478,2672,2
479,2382,1
480,2419,1
481,2465,1
482,344,1
483,344,2
484,89,1
485,89,2
486,89,3
487,89,4
488,89,5
489,2161,1
490,2162,1
491,2205,1
492,1633,1
493,1633,2
494,2160,1
495,2166,1
496,2096,1
497,1967,1
498,2385,1
499,2687,1
500,616,1
501,2312,1
502,2689,1
503,2688,1
504,1624,1
505,1098,1
506,948,1
507,1745,1
508,617,1
509,811,1
510,812,1
511,819,1
512,819,2
513,2365,1
514,836,1
515,821,1
516,1343,1
517,862,1
518,876,1
519,1327,1
520,1377,1
521,2364,1
522,1134,1
523,832,1
524,1345,1
525,843,1
526,2586,1
527,2592,1
528,2591,1
529,2589,1
530,2590,1
531,2584,1
532,2585,1
533,2583,1
534,2588,1
535,2587,1
536,2375,1
537,2693,1
538,220,1
539,2376,1
540,271,1
541,271,2
542,2600,1
543,848,1
544,2454,1
545,2108,1
546,724,1
547,2517,1
548,623,1
549,488,1
550,2452,1
551,2203,1
552,521,1
553,2459,1
554,740,1
555,2045,1
556,1885,1
557,2495,1
558,946,1
559,1516,1
560,1543,1
561,1543,2
562,675,1
563,299,1
564,299,2
565,249,1
566,722,1
567,2553,1
568,1254,1
569,74,1
570,1231,1
571,419,1
572,2514,1
573,2209,1
574,552,1
575,2226,1
576,2455,1
577,443,1
578,1553,1
579,215,1
580,1805,1
581,1142,1
582,2458,1
583,227,1
584,227,2
585,730,1
586,2456,1
587,2691,1
588,871,1
589,1968,1
590,1510,1
591,725,1
592,1212,1
593,158,1
594,158,2
595,2450,1
596,987,1
597,2513,1
598,2440,1
599,2498,1
600,1891,1
601,449,1
602,216,1
603,216,2
604,1915,1
605,2516,1
606,1525,1
607,248,1
608,2102,1
609,2171,1
610,2446,1
611,2610,1
612,2502,1
613,2453,1
614,721,1
615,1821,1
616,563,1
617,2669,1
618,2036,1
619,2449,1
620,1808,1
621,1507,1
622,2457,1
623,731,1
624,368,1
625,368,2
626,341,1
627,341,2
628,448,1
629,529,1
630,2675,1
631,1009,1
632,2510,1
633,435,1
634,1692,1
635,2230,1
636,2418,1
637,1154,1
638,228,1
639,422,1
640,2613,1
641,55,1
642,55,2
643,55,3
644,717,1
645,1660,1
646,1758,1
647,2460,1
648,558,1
649,739,1
650,1700,1
651,734,1
652,553,1
653,531,1
654,989,1
655,2611,1
656,487,1
657,2366,1
658,1706,1
659,1663,1
660,2075,1
661,2118,1
662,1545,1
663,1545,2
664,2501,1
665,993,1
666,2542,1
667,1401,1
668,726,1
669,420,1
670,718,1
671,414,1
672,414,2
673,2444,1
674,727,1
675,2494,1
676,2614,1
677,2084,1
678,1542,1
679,585,1
680,2523,1
681,2451,1
682,1688,1
683,1515,1
684,1677,1
685,212,1
686,212,2
687,82,1
688,2503,1
689,2461,1
690,799,1
691,996,1
692,972,1
693,1898,1
694,234,1
695,728,1
696,2507,1
697,2598,1
698,545,1
699,1132,1
700,474,1
701,732,1
702,2603,1
703,2225,1
704,2155,1
705,217,1
706,231,1
707,1834,1
708,1105,1
709,1552,1
710,1255,1
711,741,1
712,321,1
713,2383,1
714,538,1
715,294,1
716,719,1
717,159,1
718,2509,1
719,1402,1
720,1889,1
721,1143,1
722,2100,1
723,2596,1
724,2448,1
725,2445,1
726,723,1
727,107,1
728,991,1
729,2515,1
730,733,1
731,1535,1
732,2499,1
733,437,1
734,2447,1
735,2508,1
736,2443,1
737,2240,1
738,10009,1
739,2386,1
740,2549,1
741,330,1
742,330,2
743,2415,1
744,2380,1
745,1229,1
746,2550,1
747,1690,1
748,2373,1
749,10010,1
750,2512,1
751,2547,1
752,971,1
753,2546,1
754,2548,1
755,1756,1
756,525,1
757,1747,1
758,1678,1
759,1230,1
760,1214,1
761,2544,1
762,1500,1
763,2518,1
764,1669,1
765,1504,1
766,1409,1
767,1338,1
768,2552,1
769,2551,1
770,1346,1
771,2545,1
772,804,1
773,1051,1
774,1117,1
775,1714,1
776,1123,1
777,1717,1
778,781,1
779,1659,1
780,1716,1
781,2682,1
782,1684,1
783,1111,1
784,1718,1
785,1730,1
786,2207,1
787,1118,1
788,1744,1
789,1721,1
790,1115,1
791,1356,1
792,2609,1
793,768,1
794,855,1
795,1125,1
796,1749,1
797,1731,1
798,373,1
799,305,1
800,311,1
801,903,1
802,408,1
803,2414,1
804,2602,1
805,624,1
806,473,1
807,890,1
808,1705,1
809,2170,1
810,688,1
811,554,1
812,111,1
813,111,2
814,1974,1
815,2104,1
816,2601,1
817,372,1
818,2037,1
819,2228,1
820,577,1
821,939,1
822,2599,1
823,2686,1
824,319,1
825,319,2
826,2367,1
827,2521,1
828,1769,1
829,1367,1
830,1367,2
831,2169,1
832,2101,1
833,662,1
834,943,1
835,450,1
836,1757,1
837,471,1
838,424,1
839,649,1
840,1849,1
841,28,1
842,28,2
843,328,1
844,328,2
845,541,1
846,2678,1
847,21677,1
848,2681,1
849,1958,1
850,2680,1
851,2684,1
852,2679,1
853,1676,1
854,2441,1
855,2683,1
856,2685,1
857,952,1
858,1227,1
859,1902,1
860,738,1
861,506,1
862,565,1
863,1361,1
864,1524,1
865,1358,1
866,1362,1
867,1034,1
868,1863,1
869,1874,1
870,2604,1
871,1037,1
872,2227,1
873,2227,3
874,1502,1
875,1501,1
876,2191,1
877,1277,1
878,2181,1
879,2361,1
880,1869,1
881,461,1
882,461,2
883,1189,1
884,195,1
885,195,2
886,1353,1
887,202,1
888,192,1
889,362,1
890,1400,1
891,199,1
892,2050,1
893,2050,2
894,2062,1
895,1404,1
896,2429,1
897,2427,1
898,2428,1
899,2417,1
900,432,1
901,1407,1
902,1407,2
903,2060,1
904,796,1
905,1352,1
906,120,1
907,120,2
908,941,1
909,79,1
910,935,1
911,2153,1
912,755,1
913,755,7
914,27,1
915,27,2
916,456,1
917,581,1
918,581,2
919,682,1
920,2122,1
921,981,1
922,981,2
923,981,4
924,639,1
925,1857,1
926,1429,1
927,1429,2
928,1310,1
929,517,1
930,958,1
931,919,1
932,1559,1
933,1559,2
934,108,1
935,2117,1
936,2117,2
937,1835,1
938,1835,2
939,340,1
940,340,2
941,32,1
942,1709,1
943,1267,1
944,536,1
945,536,2
946,1648,1
947,1648,2
948,1976,1
949,1976,2
950,1976,5
951,1207,1
952,1211,1
953,1211,2
954,561,1
955,1472,1
956,1472,2
957,1755,1
958,1018,1
959,1018,2
960,101,1
961,162,1
962,1208,1
963,1233,1
964,1445,1
965,1424,1
966,1204,1
967,1204,2
968,1469,1
969,369,1
970,369,2
971,369,4
972,845,1
973,845,2
974,1297,1
975,547,1
976,547,3
977,547,5
978,628,1
979,628,2
980,1228,1
981,2421,1
982,1817,1
983,1444,1
984,1938,1
985,1938,5
986,1354,1
987,1988,1
988,171,1
989,453,1
990,2597,1
991,1269,1
992,1822,1
993,1290,1
994,1290,2
995,2221,1
996,1526,1
997,1073,1
998,633,1
999,1908,1
1000,18,1
1001,18,2
1002,100,1
1003,100,3
1004,1072,1
1005,1862,1
1006,134,1
1007,134,2
1008,940,1
1009,1698,1
1010,15,1
1011,15,2
1012,1649,1
1013,1649,3
1014,1485,1
1015,1209,1
1016,1425,1
1017,370,1
1018,370,2
1019,423,1
1020,352,1
1021,352,2
1022,942,1
1023,1326,1
1024,2282,1
1025,2607,1
1026,2607,7
1027,2580,1
1028,2462,1
1029,2002,1
1030,1351,1
1031,2605,1
1032,1797,1
1033,2606,1
1034,2093,1
1035,705,1
1036,701,1
1037,709,1
1038,1365,1
1039,2089,1
1040,2088,1
1041,2412,1
1042,2416,1
1043,2433,1
1044,2504,1
1045,2436,1
1046,1085,1
1047,2438,1
1048,2030,1
1049,2011,1
1050,2506,1
1051,2430,1
1052,2555,1
1053,1088,1
1054,1585,1
1055,2053,1
1056,2014,1
1057,2031,1
1058,2149,1
1059,1076,1
1060,1081,1
1061,2432,1
1062,1784,1
1063,2012,1
1064,1786,1
1065,1077,1
1066,1792,1
1067,2437,1
1068,2505,1
1069,1280,1
1070,1080,1
1071,1086,1
1072,2426,1
1073,2435,1
1074,2431,1
1075,2442,1
1076,2434,1
1077,1666,1
1078,1785,1
1079,2439,1
1080,2563,1
1081,2562,1
1082,2564,1
1083,2401,1
1084,2087,1
1085,2398,1
1086,2399,1
1087,1194,1
1088,2400,1
1089,2396,1
1090,10011,1
1091,2397,1
1092,2529,1
1093,2410,1
1094,2408,1
1095,1164,1
1096,2377,1
1097,2411,1
1098,2158,1
1099,2402,1
1100,2405,1
1101,1738,1
1102,1814,1
1103,2409,1
1104,1740,1
1105,2413,1
1106,2404,1
1107,2403,1
1108,2403,2
1109,2407,1
1110,2173,1
1111,2581,1
1112,1922,1
1113,1737,1
1114,1141,1
1115,1827,1
